Sudoku,Difficulty,Givens,Highest Technique,Tediousness,HoDoKu,SE,Solution
200100300010430790083005600059307001427019836061204005036002100040870560700600400,Very Easy,42,Hidden Single (Box),Very Low,264,1.2,274196358615438792983725614859367241427519836361284975536942187142873569798651423
610009803800710400000000097030870002040205030200094050150000000002038004308500019,Very Easy,34,Hidden Single (Box),Very Low,344,1.2,617459823893712465425683197539871642741265938286394751154927386962138574378546219
601039870040080106208516300006805000582043701403671000867050490900000500030090008,Very Easy,42,Hidden Single (Box),Very Low,270,1.2,651439872349287156278516349716825934582943761493671285867152493924368517135794628
100206748080970003006038002900002806000000920601000037319700600007000010208401009,Very Easy,36,Hidden Single (Box),Very Low,330,1.2,193256748582974163746138592974312856835647921621589437319725684467893215258461379
326010009780000061500026378000090486608540190009002003002930000073680020965201004,Very Easy,42,Hidden Single (Box),Very Low,264,1.2,326718549784359261591426378257193486638547192419862753842935617173684925965271834
005007000902168000140005700050310879013006040000804010400070053000041200701000690,Very Easy,35,Hidden Single (Box),Very Low,334,1.2,385427961972168435146935728654312879813796542297854316468279153539641287721583694
600020008140386057078945620780000063036578190050000080000492000460853019809167405,Very Easy,47,Hidden Single (Box),Very Low,220,1.2,695721348142386957378945621784219563236578194951634782513492876467853219829167435
253100086700000903809643057407001020001064800002785030070090540905807302328000091,Very Easy,44,Hidden Single (Box),Very Low,244,1.2,253179486764528913819643257487931625531264879692785134176392548945817362328456791
054080269916300007728506010093658102600230900002904650500723096809005701260800435,Very Easy,50,Hidden Single (Box),Very Low,184,1.2,354187269916342587728596314493658172675231948182974653541723896839465721267819435
062000703700109000500367100017900840005002300096085000901670030000500908800000071,Very Easy,35,Hidden Single (Box),Very Low,340,1.2,162854793738129456549367182217936845485712369396485217921678534673541928854293671
709080506001975200002000400070401030203000601010803020008000100005739800607050302,Very Easy,36,Hidden Single (Box),Very Low,330,1.2,739284516461975283852316479576421938283597641914863725398642157125739864647158392
400020001600937008000060000806070905170509083030010020000000000904306102080104090,Very Easy,33,Hidden Single (Box),Very Low,354,1.2,493825761615937248728461539846273915172549683539618427361792854954386172287154396
